product_link,badge,ingredient,brand,country,rating,count,recommend
https://www.ocado.com/products/anchor-light-real-cream-spray-32321011,NA,"Cream (95%) (Milk), Sugar (4%), Emulsifier (Mono- and Diglycerides of Fatty Acids), Stabiliser (Carrageenan), Propellant Gas (Nitrous Oxide)",Anchor,EU,4.3,24,84
https://www.ocado.com/products/m-s-cookie-dough-cake-553210011,NA,"Sugar, Butter (Milk), Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised Egg, Water, Dried Glucose Syrup, Palm Oil, Humectant: Glycerol, Brown Sugar, Dextrose, Rapeseed Oil, Fat Reduced Cocoa Powder, Dried Skimmed Milk, Palm Fat, Salt, Raising Agent: Sodium Bicarbonate, E450, Cocoa Butter, Cocoa Mass, Sweetened Condensed Milk (Whole Milk, Sugar, Lactose (Milk)), Dried Whey (Milk), Invert Sugar Syrup, Emulsifier: E471, E475, Soya Lecithin, E481, E476, Sunflower Lecithin, Glucose Syrup, Cornflour, Flavourings, Shea Oil, Dried Egg, Lactose (Milk), Milk Fat, Fruit, Vegetable and Plant Concentrates (Radish, Black Radish, Spirulina, Lemon, Blackcurrant, Safflower, Sweet Potato), Glazing Agent: Shellac, Gum Arabic, Acidity Regulator: E524, Citric Acid, Colour: Curcumin, Coconut Oil, Vanilla ExtractAllergen InformationContains Cereals Containing Gluten, Contains Eggs, Contains Milk, May Contain Nuts, May Contain Peanuts, Contains Soya, Contains WheatAllergy InformationNot suitable for Nut and Peanut allergy sufferers.Dietary InformationSuitable for Vegetarians",M&S,United Kingdom,3.4,9,56
https://www.ocado.com/products/m-s-fresh-egg-lasagne-sheets-527974011,Suitable for vegetarians,"Wheatflour (contains Gluten), Pasteurised Egg (30%), Durum Wheat Semolina (contains Gluten)Allergen InformationContains Cereals Containing Gluten, Contains Eggs, May Contain Milk, Contains Wheat.Not suitable for Milk allergy sufferers.Dietary InformationSuitable for Vegetarians",M&S,Italy,3.2,22,50
https://www.ocado.com/products/barr-diet-lemonade-419026011,Suitable for vegetarians,"Carbonated Water, Flavourings, Acid (Citric Acid), Sweeteners (Acesulfame K, Aspartame), Preservative (Potassium Sorbate)Dietary InformationSuitable for Vegans; No Sugar",Barr,NA,1.8,8,25
https://www.ocado.com/products/higgidy-porcini-mushroom-spinach-vegan-quiche-563878011,"Suitable for freezing, Suitable for vegetarians","Oat Drink (Water, Oats, Rapeseed Oil, Calcium Carbonate, Potassium lodide, Salt, Vitamins (D2, Riboflavin, B12)), Mushrooms (20%) (White Mushroom, Chestnut Mushroom, Porcini Mushroom), Water, Wheat Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Sautéed Onion (Onions, Rapeseed Oil), Spinach (10%), Spelt Flour (Wheat), Vegetable Oils (Sustainable Palm Oil*, Rapeseed Oil, Sunflower Oil), Food Preparation with Palm Oil (Water, Sustainable Palm Oil*, Modified Potato Starch, Salt, Colour: Beta Carotene), Cornflour, Coconut Milk, Lemon Juice, Nutritional Yeast, Salt, Kale, Garlic Purée, Parsley, Brown Linseeds, Golden Linseeds, Poppy Seeds, Millet, White Pepper, Paprika, Cayenne Pepper, Black Pepper, Yeast, *www.higgidy.co.uk/palmoilAllergen InformationMay Contain Eggs, May Contain Fish, May Contain Milk, May Contain Mustard, Contains Oats, May Contain Soya, Contains WheatAllergy InformationAll ingredients are suitable for vegans. However, this product is made on a site that handles non-vegetarian products and Milk, Egg, Mustard and Fish, so for anyone with an allergy we would advise against eating this product to be extra safe.Dietary InformationSuitable for Vegetarians; Suitable for Vegans",Higgidy,NA,4.2,53,85
https://www.ocado.com/products/tiana-premium-100-mct-organic-coconut-oil-500ml-433994011,Suitable for vegetarians,"Medium Chain Triglycerides from Organic Raw Extra Virgin Coconut OilAllergen InformationFree From Corn (Maize), Free From Fish, Free From Gluten, Free From Lactose, Free From Milk, Free From Nuts, Free From SoyaDietary InformationSuitable for Vegans; Suitable for Vegetarians; Not Tested on Animals; No Added Sweetener; No Added Sugar; Free from Trans Fat",Tiana,NA,5,7,100
https://www.ocado.com/products/chicago-s-best-passover-jumbo-frankfurters-44431011,NA,"Beef (70%), Water, Salt, Sugar, Stabilisers (Sodium Di and Tri Phosphate), Acidulant (Malic Acid), Garlic Powder, Antioxidant (Sodium Erythorbate), Flavouring Preparations (Paprika and Spice Extracts), Preservative (Sodium Nitrite)Dietary InformationKosher; Halal",Chicago's Best,United Kingdom,3.6,79,65
https://www.ocado.com/products/clive-s-organic-creamy-mushroom-pie-55127011,"Organic, Suitable for vegetarians","Stoneground Wholemeal Wheat Flour, Chestnut Mushroom (20%), Onion (14%), Water*, Identity Preserved Sustainable Palm Oil, Soya Drink (Water*, Soya Beans), Non-Hydrogenated Margarine (Sustainable Palm Oil, Rapeseed Oil, Water*, Coconut Oil, Salt*, Emulsifier: Sunflower Lecithin, Carrot Juice, Lemon Juice Concentrate, Natural Flavouring*), Porcini Mushroom (1.5%), Sunflower Oil, Garlic, Sea Salt*, Bouillon (Salt*, Rice Flour, Onion, Parsnip, Carrot, Olive Oil, Turmeric, Parsley), Black Pepper, Tarragon, Mixed Herbs and Love, *Approved Non-OrganicAllergen InformationMay Contain Mustard, May Contain Nuts, May Contain Sesame, Contains Soya, Contains WheatAllergy InformationWe handle Mustard, Nuts and Sesame, so may also contain these allergens.Dietary InformationSuitable for Vegans; Organic",Clive's,United Kingdom,4.1,144,78
https://www.ocado.com/products/natoora-venetian-radicchio-castelfranco-81030011,NA,NA,Natoora,Italy,3.3,32,54
https://www.ocado.com/products/m-s-blue-d-affinois-soft-cheese-525589011,Suitable for vegetarians,NA,M&S,France,3.2,12,42
https://www.ocado.com/products/mcvitie-s-digestives-slices-285724011,Suitable for vegetarians,"Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oils (Palm, Rapeseed), Milk Chocolate (17%) [Sugar, Cocoa Butter, Cocoa Mass, Dried Skimmed Milk, Dried Whey (Milk), Butter Oil (Milk), Vegetable Fats (Shea, Palm), Emulsifiers (Soya Lecithin, E476), Natural Flavouring], Golden Syrup (Partially Inverted Sugar Syrup), Partially Inverted Sugar Syrup, Sugar, Glucose-Fructose Syrup, Wholemeal Wheat Flour, Emulsifier (E471), Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate), Salt, Product contains 46% Digestives PiecesAllergen InformationMay Contain Eggs, Contains Milk, May Contain Nuts, May Contain Peanuts, Contains Soya, Contains WheatAllergy InformationMay also contain Peanuts, Nuts, Egg.Dietary InformationSuitable for Vegetarians",Mcvitie's,United Kingdom,3.2,16,57
https://www.ocado.com/products/robinsons-fruit-creations-peach-raspberry-no-added-sugar-395475011,Suitable for vegetarians,"Water, Fruit Juices from Concentrate (Orange 16%, Raspberry 2%, Peach 2%), Acid (Citric Acid), Natural Flavourings, Acidity Regulator (Sodium Citrate), Preservatives (Potassium Sorbate, Sodium Metabisulphite), Sweeteners (Sucralose, Acesulfame K), Stabiliser (Cellulose Gum), Carrot and Blackcurrant Concentrate, Emulsifier (Glycerol Esters of Wood Rosins), Natural Colour (Carotenes)Allergen InformationContains Sulphur Dioxide/SulphitesDietary InformationSuitable for Vegetarians; Suitable for Vegans; No Added Sugar",Robinsons,NA,3.2,14,65
https://www.ocado.com/products/m-s-steak-puff-pastry-pie-516754011,Suitable for freezing,"Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), British Beef (24%), Water, Palm Oil, Rapeseed Oil, Onions, Cornflour, Sweet Roast Beef Stock (Water, Beef Bones, Onions, Carrots, Tomato Purée, Swede, Yeast Extract, Leeks, Salt), Pasteurised Egg, Salt, Tomato Paste, Yeast Extract, Cracked Black Pepper, Dried ThymeAllergen InformationContains Cereals Containing Gluten, Contains Eggs, Contains Wheat",M&S,UK,3.6,18,56
https://www.ocado.com/products/vimto-orange-strawberry-lime-fizzy-6x330ml-516143011,NA,"Carbonated Water, Mixed Fruit Juices from Concentrate 3% (Apple, Orange, Lime, Strawberry), Acid (Citric Acid), Flavourings, Stabilisers (Acacia Gum, Coconut Oil, Rapeseed Oil), Colour (Beta Carotene), Preservatives (Potassium Sorbate, Sodium Benzoate), Acidity Regulator (Sodium Citrate), Antioxidant (Ascorbic Acid), Sweeteners (Sucralose, Acesulfame K)Dietary InformationSuitable for Vegetarians",Vimto,NA,5,2,100
https://www.ocado.com/products/nishaan-4-plain-parathas-231080011,"Suitable for freezing, Suitable for the microwave, Suitable for vegetarians","Wheat Flour, Water, Rapeseed Oil, Salt, Calcium PropionateDietary InformationSuitable for Vegetarians",Nishaan,United Kingdom,3.8,93,67
https://www.ocado.com/products/sweet-freedom-choc-shot-coconut-375195011,Suitable for vegetarians,"Sweet Freedom® Natural Fruit Extracts (Carob & Apple), Water, Cocoa, Rapeseed Oil, Natural FlavoursAllergen InformationFree From Dairy, Free From Gluten, Free From NutsDietary InformationSuitable for Vegans",Sweet Freedom,United Kingdom,3.8,28,65
